s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS
 9.0588036E+000, 8.5113436E-001,-1.3280401E-001,-6.0064593E-001,-2.7711254E-003,-1.0022064E-004, 0.0000000E+000, 0.0000000E+000, 1.2373975E-001, 1.1481307E-001, 0.0000000E+000, 1.7200189E-005, 0.0000000E+000
 1.0022218E+001, 9.4426735E-001,-1.4624688E-001,-6.9865637E-001,-3.3607189E-003,-1.1131065E-004, 0.0000000E+000, 0.0000000E+000, 1.0631339E-001, 9.5892066E-002, 0.0000000E+000, 1.9150519E-005, 0.0000000E+000
 1.1057505E+001, 1.0463726E+000,-1.6049517E-001,-7.8723986E-001,-4.0670351E-003,-1.2262975E-004, 0.0000000E+000, 0.0000000E+000, 1.0365358E-001, 9.4447913E-002, 0.0000000E+000, 2.1148724E-005, 0.0000000E+000
 1.2063737E+001, 1.1493071E+000,-1.7636103E-001,-8.8197125E-001,-4.5818799E-003,-1.3415629E-004, 0.0000000E+000, 0.0000000E+000, 1.0131172E-001, 8.6258737E-002, 0.0000000E+000, 2.3183312E-005, 0.0000000E+000
 1.3069968E+001, 1.2473458E+000,-1.8975332E-001,-9.5480234E-001,-5.5394279E-003,-1.4549192E-004, 0.0000000E+000, 0.0000000E+000, 1.1011457E-001, 9.7105176E-002, 0.0000000E+000, 2.5190499E-005, 0.0000000E+000
 1.4004327E+001, 1.3450687E+000,-2.1395667E-001,-1.0489115E+000,-5.1734977E-003,-1.5638621E-004, 0.0000000E+000, 0.0000000E+000, 8.9729672E-002, 7.6870643E-002, 0.0000000E+000, 2.7129152E-005, 0.0000000E+000
 1.5010558E+001, 1.4407536E+000,-2.2644516E-001,-1.0822382E+000,-5.1032009E-003,-1.6723438E-004, 0.0000000E+000, 0.0000000E+000, 1.3754452E-001, 1.2679977E-001, 0.0000000E+000, 2.9072089E-005, 0.0000000E+000
 1.6025686E+001, 1.5511744E+000,-2.4291421E-001,-1.1840890E+000,-4.0740001E-003,-1.7834712E-004, 0.0000000E+000, 0.0000000E+000, 1.3018196E-001, 1.1991882E-001, 0.0000000E+000, 3.1089133E-005, 0.0000000E+000
 1.7049713E+001, 1.6433814E+000,-2.5558832E-001,-1.3268257E+000,-4.7344922E-003,-1.8967042E-004, 0.0000000E+000, 0.0000000E+000, 5.7784029E-002, 5.6043204E-002, 0.0000000E+000, 3.3122122E-005, 0.0000000E+000
 1.8009739E+001, 1.7443368E+000,-2.7228562E-001,-1.3978279E+000,-4.2565202E-003,-2.0123670E-004, 0.0000000E+000, 0.0000000E+000, 8.4016975E-002, 6.9765544E-002, 0.0000000E+000, 3.5104787E-005, 0.0000000E+000
 1.9033764E+001, 1.8415741E+000,-2.8433980E-001,-1.4416795E+000,-5.8238688E-003,-2.1325890E-004, 0.0000000E+000, 0.0000000E+000, 1.0098593E-001, 1.0951764E-001, 0.0000000E+000, 3.7087452E-005, 0.0000000E+000
 2.0057791E+001, 1.9474093E+000,-2.9740687E-001,-1.4626334E+000,-6.6563248E-003,-2.2452691E-004, 0.0000000E+000, 0.0000000E+000, 1.8690586E-001, 1.8048821E-001, 0.0000000E+000, 3.9134582E-005, 0.0000000E+000
 2.1014687E+001, 2.0499482E+000,-3.1464786E-001,-1.6836700E+000,-4.9885748E-003,-2.3396512E-004, 0.0000000E+000, 0.0000000E+000, 6.7930453E-002, 4.6407757E-002, 0.0000000E+000, 4.1110258E-005, 0.0000000E+000
 2.2045879E+001, 2.1430114E+000,-3.3415351E-001,-1.7484240E+000,-5.5874050E-003,-2.4496872E-004, 0.0000000E+000, 0.0000000E+000, 4.4916462E-002, 5.4601432E-002, 0.0000000E+000, 4.3094415E-005, 0.0000000E+000
 2.3019785E+001, 2.2401951E+000,-3.3679237E-001,-1.7846729E+000,-6.7352116E-003,-2.5811846E-004, 0.0000000E+000, 0.0000000E+000, 9.0583626E-002, 1.1173648E-001, 0.0000000E+000, 4.5098847E-005, 0.0000000E+000
